#query	kegg_gene_id	KO_id	NAME	ENTRY	DEFINITION	PATHWAY_ID	PATHWAY_DESC	MODULE_ID	MODULE_DESC
gene_id_2892629	kan:IMCC3317_29330	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8797892	ag:ADU77278	K16967	dmoA	K16967	dimethyl-sulfide monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_7886617	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6425484	oai:OLEAN_C34450	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8365150	abai:IMCC26256_11646	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2125201	hoh:Hoch_0437	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_4025593	bbt:BBta_3195	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_938289	taw:EI545_02625	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_73425	acr:Acry_1262	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7407348	rbz:B9057_03540	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1829185	cuh:BJN34_36045	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_499246	pseb:EOK75_18115	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9005488	zal:AZF00_08230	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7030453	brk:CWS35_04795	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_4337369	mad:HP15_2574	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_916577	ptp:RCA23_c00460	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6641491	gak:X907_1562	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9503033	rgi:RGI145_03760	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_5727458	ptp:RCA23_c16500	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_3947192	sok:D0B54_11315	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6556830	fpf:DCC35_03110	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3217048	ome:OLMES_3728	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7768077	spse:SULPSESMR1_02992	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9513781	mmai:sS8_2255	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_1491672	sfla:SPHFLASMR4Y_00404	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6943288	oai:OLEAN_C34450	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2680799	cza:CYCME_0227	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4765515	alm:AO498_08080	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_139188	for:FORMB_10180	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4326781	pseb:EOK75_18115	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8740	rhz:RHPLAN_35250	K23464	tgnB	K23464	flavin-dependent trigonelline monooxygenase, oxygenase component	NULL	NULL	NULL	NULL
gene_id_8855208	oai:OLEAN_C23040	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3108842	foh:FORMA_10320	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8728667	gbi:PG2T_12610	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9437639	palk:PSAKL28_02570	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_1366557	pseb:EOK75_07930	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_9210313	bbd:Belba_3611	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1408104	gbi:PG2T_12610	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8376699	oai:OLEAN_C34450	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3431934	ptp:RCA23_c16500	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_8517509	wma:WM2015_2247	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_4466704	win:WPG_1326	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3821751	oho:Oweho_0550	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_930608	spon:HME9304_01516	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5398653	ome:OLMES_3728	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3449111	mlt:VC82_1335	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_6250047	bbd:Belba_3611	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3260847	lvs:LOKVESSMR4R_01987	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_1769060	oho:Oweho_0550	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1355174	tom:BWR18_15845	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7403300	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3843002	sedi:EBB79_03360	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2282042	rhp:LPB142_01740	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5484764	suld:B5M07_01890	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_644356	pom:MED152_06505	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8049580	spon:HME9304_01067	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_6734662	brk:CWS35_04795	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_1502772	mad:HP15_2574	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3742717	mad:HP15_2574	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5545339	suam:BOO69_16800	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2853840	foh:FORMA_10320	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5424877	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_1625182	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_8390261	abo:ABO_0122	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5705117	bic:LMTR13_01200	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_6488360	taw:EI545_11010	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_2576104	fbc:FB2170_05910	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5703226	apac:S7S_11290	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_3993824	cza:CYCME_0227	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_215459	gai:IMCC3135_12550	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_248267	pow:IJ21_33630	K23464	tgnB	K23464	flavin-dependent trigonelline monooxygenase, oxygenase component	NULL	NULL	NULL	NULL
gene_id_2777330	ome:OLMES_3728	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_2397365	wij:BWZ20_09145	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5565360	pses:PSCI_0271	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_7400987	aht:ANTHELSMS3_04081	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_117706	suli:C1J05_06965	K23464	tgnB	K23464	flavin-dependent trigonelline monooxygenase, oxygenase component	NULL	NULL	NULL	NULL
gene_id_8046135	don:BSK21_12395	K04091	ssuD	K04091	alkanesulfonate monooxygenase	ko00920==ko01100	Sulfur metabolism==Metabolic pathways	NULL	NULL
gene_id_3241605	llg:44548918_02745	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7098726	oai:OLEAN_C34350	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_5067382	mtt:Ftrac_0880	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7939111	pami:JCM7686_3074	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7715373	jan:Jann_0394	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_829939	stp:Strop_2812	K20938	ladA	K20938	long-chain alkane monooxygenase	NULL	NULL	NULL	NULL
gene_id_3164178	aht:ANTHELSMS3_00166	K00496	alkB1_2, alkM	K00496	alkane 1-monooxygenase	ko00071==ko00930	Fatty acid degradation==Caprolactam degradation	NULL	NULL
gene_id_7217834	mic:Mic7113_2371	K23464	tgnB	K23464	flavin-dependent trigonelline monooxygenase, oxygenase component	NULL	NULL	NULL	NULL
